Titles,content
#2 Limits,"
(I'm preparing for my optimization midterm on Wednesday and it's all I could do to stop myself from titling this post ""Constraints"")



I'm shit pretty scared about this midterm.



I was supposed to study the whole day and yet all I've done is make pav-bhajish bhaji (and eat it, duh). I then tried to study but was too full so I ate chips and slept for two and a half hours. By the time I woke up, I was hungry again, so I warmed up fried shrimps from last night and had them with white bread and black tea with lots of sugar. I then proceeded to open my laptop and books and realized I couldn't do it.



I wish I could say I can do it but I won't. 



But the truth is, I can't.



I can't study the whole day, I get distracted. Of course if I could bring myself to not be distracted and study, not want to make the pav bhaji, not want to doze off right after supper and then wake up to eat more, I wouldn't be me. I have terrible attention span and I have to be doing ten things at the same time.



So I can't concentrate on solving optimization problems for even an hour straight. I did start, and less than fifteen minutes in I realized I can't and I realized why I can't and I realized I have to write about it. Look at me. I'm a wreck.



This will be the end of me, I'm sure. 



In undergraduation I had an incentive to score well - in future, I'd want to study a subject I like and only a good score would back up my application, because my degree (*dramatic bgm* in civil engineering) wouldn't. 



Look at me now. Studying things I love, but now I can afford to be distracted.



(I'm just kidding, you didn't watch me have a meltdown last week when I got a B in what I thought would be my easiest class...)



More than brains, decisions reflect personality. I hear people loosely throwing around statements like, ""I could've quit my job like he did but chose not to."" 



Maybe he couldn't sleep at night while he stayed in his job - that's why he quit. If you wanted to you probably would've already unless constraints (woohoo!) put you at conflicts. There is so much more to I could've.



My poor decisions define me, so here I am writing this on Sunday. Meanwhile I'm downloading an app for Data Structures and Algorithms on my phone and opening yet another tab to see Glassdoor reviews for Quora. I have my midterm 2 days later, this is my toughest subject. Yet I have to write this or I can't have peace, and if I didn't have 10 tabs open in Chrome I wouldn't be me.



And I know that as soon as this draft is done I'll be plugging in my headphones and dancing to Milegi Milegi, because who can resist?



I watched 3 other dance videos while trying to copy-paste that link. I hate myself.








"
College,"
 Sometimes I think I'm funny but life's just funnier. 




"
#1 Uppmaav,"
Of all the things I do on a weekday, cooking is probably the most rushed. At least as rushed as it possibly could be. 



The good news is, you can only rush it so much. That is if you've learnt your lessons, want the intended results and not spend an hour scrubbing the vessel after.



So you start by heating some oil - vegetable oil cos it's cheap, coconut oil if you can afford that wherever you are, peanut if you aren't allergic and any others if you've explored more. The vapors are rising off the oil surface so you now add your black mustard seeds. (no I will never side-note ""or cumin if you're North Indian"". Just don't bother if you want to add cumin to uppmaav).



So this is where cooking begins to test your patience. Was the oil hot? Of course.Are the seeds crackling? No not yet.Let's wait 15 seconds. It usually happens in 15 seconds considering 15 is longer than you and I and all of us think it is. Is it happening yet? You know, if I were home, I'd add some curry leaves at this point to induce crackling, never mind if it's only the leaves and not the seeds. 



Okay it's finally happening! So now we add diced red onion - the rationed red onion that cost $0.75 each and was chopped while calculating its worth in rupees. This time you really can't tell why the tears.



Also add some salt at this stage to accelerate the cooking and browning like that uncle/aunty in the TV cookery show told you. (If you opened this article I'm assuming you're at that age). Keep sauteing - toss and toss and toss.



Is it browning? No not yet.Did you add the salt? Of course.



See, at this point, you've given up trying to rush this. Cooking will take its own time. Which is why it slows you down, often when you absolutely need to and just aren't aware of it.



I know it'd be low-key insulting to even bother to tell you the rest of the recipe. But to finish what I started, once the onions are translucent, throw in chopped carrots, bell peppers and whatever else is in your kitchen that can be eaten half-raw. Saute for a while. Add the rava, mix well until you've slightly roasted the granules. Pour in water and keep stirring until it boils, evaporates and reaches the consistency at which you like to have the meal. Turn off the heat, take in life at a slightly slower pace than before you embarked on the uppmav. 



Bon Appetit!
"
Biennale 2 : Jew Street - Parting,"
The air was less sultry now, the armpit rivers of smaller diameter. The streets were empty save for a few shops open in the slow-cooling afternoon heat, adjacent buildings looming on either sides of the narrow road. 



They walked slowly in their shade, peeping into antique/curios stores and shops selling overpriced tea and unreasonably large white kurtas for the tourist. This was the last stop before catching their separate trains back home, and the thought followed them just as the falling daylight. 



On a Sunday afternoon.., she sang Groovin loudly as they slowed their pace. He smiled. It was Saturday. She had only suggested the song to him that morning and it wasnt one of their songs, yet. 



They could easily live in one of these places, narrow and long, winding inwards, calm. There would be a small verandah with cheap aluminium rails, the kind you see in some houses near the beach, with cycles parked out. Afternoons would be strong tea and a playlist that switched between his, hers, and theirs. Theyd sit with friends in summer and in rain, which meant theyd have to make friends here first. The long winding house would be a mystery that opened itself just to the two of them, with partitions for walls and ceramics taken out only during tea. Rent would probably be up the roof though so its best they didnt gamble their chance at business. Would it be odd, living among all of them? Are only Jews allowed to occupy places here? Their music wouldnt gel with the aesthetic, no. And they were glass-people, not ceramic. Kochi wasnt their place to be, though they'd miss Shahabaz Aman.



&nbsp;Life would be ecstasy, you and me endlessly   , ending the song she dropped her head sideways and swiveled, stepping on and off the shade. Like during waves at the beach except he didnt have to hold her from moving further away as she swayed back to him.



The melancholy suddenly taking over soon after the song ended, as if remembering their impending close, she asked, What happens when I leave?



He stopped to watch dreamcatchers hung between the buildings,
pretending like he hadnt heard. It was sad when she was sad.



Am I Lola Milford? She was watching him intently.No, prompt came his reply and they continued walking towards the synagogue, brushing past the returning crowd, neither facing the other. He didnt want them to drown, it was up to him now.



Why not? And as if suddenly deciding to lift the mood, she cheerfully jumped, almost like she might break into dance again to yet another song. Am I missing any of her 4 listed attributes? Para para! Demanding an answer, threatening to pull his fat cheeks.He gave it a pause.Were too precious to be characters in a book. He was serious, unlike his usual grinning self, still not looking her in the face. You mean we arent? Nobodys too precious. She stopped hopping and walked by his side again, with a face that looked like itd been sad for far too long and had just cheated on a quick short break, and was back to being the sad self again. They stayed silent and walked on, neither minding the surrounding anymore.  They halted in their tracks and sighed. The sign at the deserted synagogue read, CLOSED ON SATURDAYS. They stared at the silent white building for a while and then at the clock on its high wall. He was slow but stern with his reply, filling in the shoes shed left a while ago, his shadow falling on her as he turned.



We arent in Lola, because you arent leaving. And neither
am I.



The frame coyly shifts away, and well never know if the two kissed before they made their ways back home.







Closed on Saturdays. 
"
Biennale 1 : AspinWall House,"
Her hairs shifted in the breeze that made its way into Aspinwall House from the sea, the familiar smell of hair oils tinged with sweat reaching him. They were curly today because the hair was still wet and there was too much oil in them, with thick wavy strands where dry. 



  ..  A middle-aged uncle urgently attended to his loud ringing phone, shuffling in embarrassment and looking around in apology for his ringtone, in all likelihood a mistake by an impatient adolescent son or a daughter. A short woman, probably his wife, identified the song and turned from the queue ahead in front of the black-and-white freedom photographs.  The song brought to mind ill-lit library aisles, shining bright eyes and shy faces too close to each other. The young couple looked at each other and grinned.   Your armpits are a river. Her humour was either inappropriate or scathing. Yea Kochis melting. They moved out of the building. Sure enough, everyone on the grounds stuck to the shades of trees and the building, from volunteers to visitors to students running to avoid the sun. Their faces glistened in perennial tropical sweat.



You know, I think I couldve squeezed in my final year workshop project somewhere here, its got more effort to it than this representative solitary tyre with a measly description.  Its the message that counts, isnt that what they say. Plus theyd have arranged a JCB and all that. Why arent you in a sari? I expected youd be. Well I expected youd come naked. Some day. Youre welcome though. He grinned.



The rooms on the first floor were filled with portraits.Im pretty sure were missing something. Something big and important. Im getting bored. She leaned up at him staring at a frame.



Shes got a snake on her face. Snakes. Maybe she bites. Its probably the rest of the world, not her. Is it poisonous? Should I google? He had already taken out his phone. Lets just go paint.



On their way down the stairs was a wall with rows of Dont die handwritten and struck out, right next to suicidal diary notes and pin-ups.



How much do you think the model was paid to wear snakes on her face? Aaa, ariyilla.  If you could put up a single exhibit here, whatd you keep? Us? He knew he didn't have to pitch in, the question wasn't really for him. And yet, between being romantic and sounding clich, he always leaned towards the latter, armed and betrayed by his limited creativity (which I wouldn't say is a crime.*)Id keep a picture of me, staring back at everyone from my photo, she attempted to sound arrogant, answering her own question. What are you? He played along. Just me, out-of-step with the world and compressed into a frame - and theyd pass me by, mostly bored and blank. A few make attempts at decrypting me, to make sense. But none of them do, and I stare back at them. Isnt that what I said? Us?



Okay, youre good today. Smart quips were his novelty.











She drew a heart on her portion of the glass wall. A little further away, he painted a house with 2 squares on either sides for windows, a door and a sloping roof, already fading as the water dried.



She extended a long arrow from her fading heart and pierced it into the fading door.



My heart is a heart and yours is just a door, she smiled stupidly and made a face at him.  Mines a house. Oh wow I hadnt thought of that.  -pause-Kollaallo.  They watched their paintings vanish. A tease once in a while was okay.  She was too proud to lose and he liked her too much to let her.



*That's me placing up my disclaimer inline, much like Prithviraj in Lucifer 











 
"
Pothichor,"
The only early memories I own of pothichor are a misshapen package wrapped in banana leaf and newspaper, that Manichechi brought home when I was younger, with ammummas food inside.



Like everything else she cooked, there was as much coconut in the accompanying dishes as there was white rice  (read: a LOT).  Pink lovelolikka (is that how you spell it) and mango pickle staining a corner of the white rice with a shocking yet warm red. Red chilly chammanthi in very generous amounts. Two different thorans, one always being beetroot, both with lots of grated coconut. A separate tiny banana leaf wrap that you eagerly open to find the insides bathed in fried oil, with pieces of fish fried until crisp and more (well, almost black), yet surprisingly white and soft inside. 



Amma talks about choodu pothichor that maaman brought to her medical college hostel from Vakkom early morning before classes, that stayed warm and succulent until afternoon and even up to dinner. She would wait for lunch time quite like Imran Khan did at work for his dabba in The Lunchbox, the anticipation of the banana-leaf parcel tingling her tongue. (And did I tell you she doesn't care much about food? Oh not yet.)



As I grew older, especially in college, I saw more pothichors brought from home, sometimes for groups of 5  10. My own mother never cared about cooking much  eat to live, not the other way around she says. My father, an upholder of the other way around, still holds it to heart and lives a battle.



In circles when people said, Mothers food is always best, I was always the sole one shaking my head. Once a friend said Come on, youre just exaggerating, Im sure your mom cooks well. The next day, I brought her my moms prepared lunch and she didnt contest me after.



Once while my brother was admitted in the hospital for jaundice, my uncle and I were exiting the ward around 8pm as we saw an aunty eating from her pothichor. My uncle suddenly commented, Did you see that. Assuming he wasn't referring to the only thing I'd noticed, I cautiously asked, See what?



That woman was eating pothichor.. kothi ayi, he grins.



Oh yesssss







 In the past one year there has been this mad rush in social media over the nostalgia and memories associated with pothichor. 



So a couple of months ago, when my parents were leaving on a train to Thrissur at 11AM, I suggested to Amma, Lets pack pothichor for you guys? I knew shed be excited, she hadnt had one in years. While packing, my father said Its been decades since I last packed one. We packed 2 separately, it was vegetarian with an omelette for each, and they gobbled it up as soon as they got on the train, amma said.



Last week, my parents and I were travelling to Belgaum. Our train was at 12:50PM, and obviously it was time for another pothichor episode. An elaborate one this time.



Amma first fried large kilimeen (pink perch, from Google) with spices. She separately cooked onions with masala and added tomatoes to it, and finally mixed the fish pieces into it. Chammanthi from roasted coconut. I made a double omelette with lots of shallots (small red onions) and green chillies. There was cucumber thoran with fair quantity of grated coconut (by ammas standards, not manichechis), and another kovakka thoran.



Last time, it was achan who did the packing, but he was busy eating Puttu with the fresh fish masala (LIVE TO EAT manifests in opportune moments such as these). I was already a tad bit hungry but saved the hunger for my long-awaited pothichor. Amma laid out the leaves and I apportioned.



A piece of fish in each, no pickle for Amma, more for achan, no omelette and more chammanthi for me. (Yes I agree, pothichor without pickle and chammanthi is just blasphemy). 



Spicy onion from the fish stuck to my fingers and I licked them clean  yum. Yet I conquer my urges again, for later. Should we add another fish piece? Amma asks. Of course we should.  I wrap them up, two rubber bands each, neat and nicely shaped.



Needless to say we forget them at home and realize on the train by 1:30PM when were hungry and start checking bags. There is no pothichor. We buy a biryani and a Veg Meal at Kollam railway station. I could only be jealous of my father whod atleast tasted the fish (so much for conquering urges. Live to Eat, guys). Two others in our compartment also brought pothichors. One of them had fish masala.
"
Loss of Innocence,"
I wonder if people
know the exact moment when they lost their innocence. 



Like when they watched porn for the first time (really?). Or as they succumbed to money thats bigger than life.Or in the eerie silence while they buried their boss body.



I remember the time
when I realized I had grown up.



 So I was waiting one sweltering morning at the bus stop, contemplating ringing up my driver chetan to find if hed unfaithfully driven off without me. A familiar yellow Loyola school bus halted to wait, grunting. &nbsp;Soon enough a child, barely 7 or 8, in his white shirt and black trousers and shoes sprinted to the bus in beaming relief. A number of eyes watched him run, some frowning in the heat, some eager and some curious, one smiling.



A month or even a
couple of weeks earlier perhaps, I would have seen a bunch of morning office-goers
at the bus stop, delighted at this kid catching his school bus. I may even have
told myself, Just how beautiful are people,
in gleaming at this moment and this kid who belongs to god-knows-who. I
wouldve told you how some of them re-lived their own bus-chasing days (I still
have mine) when they were younger, their school vehicles and whites and blacks
and emblems and morning frenzies.



But I didnt.

All I saw were a bunch of faces. Some frowning at the kids parents perhaps,
for getting the child ready late, for making others wait - disapproval at their
ways and busy lives. Some unimpressed
at the (adjudged) irresponsible boy. I saw some eager to find if he catches the
bus and at least some hoping in malice that he misses it. I saw someone else
betting on the bus taking off without him. Perhaps the only aunty smiling may
reminisce to her days in a pinafore but none else. 



Where a month ago
Id have told you they egged him on with their gaze, instead I tell you these
tales.



That was when I realized
I wasnt the person I was anymore, I knew I had finally landed on earth like
Amma always wanted me to. That this is what they should call Loss of Innocence.



Imagine taking in everything
people say with a pinch of salt, of doubting intentions. I do not see halos
around peoples heads anymore (probably never should have). Goodness exists if
you dig deep enough in everyone and tons of benefit of the doubt, sure. But not
pure until proven otherwise as I used to think. I can actually, without
prodding more to know why, believe
that people will deliberately cause you harm to none of their benefit. 



I mean I was
always cynical, yet I had hope and faith in people. I loved people. (I still
do, many of them).



Once I was over
the depressing shock of it, I saw the reality of smirks following uncles/aunties
What do you want to be when you grow up? Now I see them, more often than not,
inquiring not on the kids ambitions but on just how audacious they can get, just
how innocent ignorant(thats what they call them) he/she is. A Wait till you grow up and watch porn and crave
money and distrust people lurking.



So loss of
innocence isnt when you can guess that Hyderabadi biryani flavoured condoms must
suck*. Its when you can imagine people wishing anything but well for a child who
is, for all purposes, just a child.







*I never intend puns
"
Where numbers come from,"
So one day last year, three of us were discussing about the rise of BJP in India. The conversation mainly revolved around their proliferation despite outright communal agendas and intolerance.



P1 : But I mean, who votes for these bigots? I don't expect a remotely sensible person would vote them to power.



Me : I can only speak for myself. Now I may bark liberalism in the workplace and about freedom of expression etc among my social circles, yet when I enter the polling booth - sorry but the Hindu in me is aroused and I vote for thaamara (lotus). Not sorry. (*wink* intended)



P2 (pleasantly surprised) : YEA I KNOW RIGHT! SAME HERE! Same happens with me! Wonder why that is...



P1 &amp; Me :







!
"
"End to a Beginning, that wasn't","
There are high streetlights visible from the coffee shop where we sit. Such an unlikely place to meet.



I'd always imagined us meeting at a wedding of a mutual acquaintance, in the middle of everyone dancing. It seemed a likely prospect, our world was so small. Though which South Indian wedding ceremony involves dance, you may ask.



Or in an exotic (enough) setting away from home. Homes. In a crowded beach with the sun setting behind us, or a random KFC outlet where two disinterested souls spot each other in delight before indulging in incessant chatter.



Or in one of the narrow aisles of our public library, between tall bookshelves that we're engrossed in decoding. 



For a long, long time I turned every lane and entered every wedding almost expectedly. Nothing materialized, until I was exhausted of momentarily getting my hopes high and adjusting my hair in place.



All the while that I was getting dressed today (I may not have much to show for it), I felt old. As difficult as it was, I avoided the thought of how young we had been, Wo jo adhoori si yaad baki hai and Jaise milte nahi kisi dariya ke do kinaare lines continually playing in my head. But now, godforsaken Naina da kya kasoor won't stop and I must repress my headbobbing. I don't feel like the song though. 



""I don't drink or smoke"". I casually mention, unsure why I sound like my recently decommissioned matrimonial profile.  



""Oh""



""Neither does he."" Now I know why. It came out surprisingly easy, and I'm only happy for myself.



""Oh..""I'm assuming the dots were there, or maybe the melancholy was only in my air.



I see fingers, long, thin and straight unlike my long crooked ones. They appear damp and soft, like they always did in pictures. I imagine a fountain pen in them, almost immediately replaced with a Gel pen by memory.



As we stepped outside and the lights fell on us, for the life of me I couldn't see the magnificence in his face, hair or arms. And for the life of me, I couldn't believe myself. 



As I leave, all I think of with every step away are the stories that weren't written about me, the poems I didn't feature in. 



Yet we all choose our stories really, don't we?







PS : Too many break-up stories, I've heard this past year.
"
"Reading, revisiting","I took out reading from my list of hobbies a couple of years ago. I remember going to public library to borrow algorithms texts last year. The year before that, I browsed the shelves for books on development studies and sociology. This year, Ive visited only on behalf of my mother to get her yoga books from the ground floor main section.

It is quite probable that I was never an avid reader. I mostly read what Achu annan suggested/bought me. An omnibus for every birthday when I was young. A lot of Paulo Coelho from our school library. Those standard books almost everyone reads  Kite Runner, To kill a mockingbird, JD Salinger.

He bought me Cats Eye in my final year and it was great. For some reason, I really liked reading books written by women. There was this book by a lady  I forget the name but Im sure I have it written down in one of my diaries  it talked of suitors and hemming lines, dainty glass cups taken out in the afternoons with designs on them, extra linen stored away in cupboards and wardrobes, recipe books with extra scribblings in pencil on margins, and double curtains - not necessarily all plush (mostly not and those being the best kind. Too cosy. Is it too English, early 20th centuryish? There were Indian books among them as well. Unlike Wodehouse with golf and butlers, that was my brother's thing.

Sapiens is lying around and he has asked me to read it, more than a couple times. I tried and the contents page gave me the idea of a summary of Anthropology texts  evolution. Achu annan still vouches for it, but Im not sure Id visit again. I had a similar experience with 100 years of solitude. Made a mental note of returning later to see if maybe I liked it now, but havent yet.

So  I started reading again. My reading has, over last 2 years, been reduced to blogs on WordPress (mostly recipes of thoroughly familiar and straightforward stuff like dal  yes its a fetish), Medium articles and more stuff off the internet. On Sundays I look for Vasundhara Chauhans cookery and recipes or culinary experiences in Hindu  mutton cooked in pressure cookers with meat falling off the bone and tender chicken pieces in stew. All of G. Sampaths satirical stories, especially the ones where his complainant wife is cooking a curry, and finishes before the raunchy couple hes watching on tv does.

As always, I digress.

Im reading Winesburg, Ohio. Its a small town where everyone knows each other. I picked it from a list of rustic set books. Honestly, I do not stick to settings though, and I picture a prairie-land  yellow meadow of grasses with sun shining over, intermittent cottage houses with ivy walls and narrow roads connecting them. The landscape in Love comes slowly precisely describes it. Once in a while Sherlock Holmes visits to solve a case, unimpressed, and the lady from A Sound of Music is running amidst the dry grasses, singing in the evenings in her skirt-gowns. All the women are strong and wear layers of clothing. The men are strong as well, like in those movies set in Ireland and they eat freshly baked bread and chicken pies from firewood ovens with gravy.

Theres a beach adjacent to it, the shore from a story about an old man once written by a friend. Somehow it fit there right next to the prairie.

The meadow segues into the short grassy ground in front of our engineering college quarters, where boys played in the evenings after school and fresh cow milk was delivered by a woman who lived in the depths of the road that went behind our house, to far away from where the sun shines.

There was a Facebook challenge long back, where you had to pick an image out of 4, and it showed your personality. I know it sounds too simplistic, it was; I remember 3 of the options  the sky, the sea and a meadow.
If you picked the sea it meant youre outgoing, love hanging out with people etc. I was the meadow (I remember being terrified of the sea picture lol). I cant remember what the description said but it fit me so maybe it was the clich loves to curl up in bed and doesnt like going out as much. I made a mental note to keep revisiting every few years to see if I ever picked the sea.

We were taught Daffodils in middle school (I think we all were, irrespective of the schools we went to). I had no idea what a daffodil looked like, the teacher did describe them but our brains have their own way of concocting images, no? I was stuck in a vast daffodil field for a long time. The field over time metamorphosed into the meadow, the prairie and everything else. I googled to find a match to the image in my head, sometimes it occurred in dreams, sometimes in stories and movies, it just wasnt daffodils anymore. I don't think it ever was.

I think somewhere in my childhood reading or English poetry classes, I got lost in one of those villages. And I refuse to come out.

Or maybe I just love revisiting.



Do you know what the worst part about writing is? It sometimes takes the magic out of things. I swear.

I remember writing about Indian coffee house once. It took me a long time to feel again what I wrote about after posting it, cos when I returned all I could think of were people's comments. Its like exposing a part of you. More importantly, its just not in my head anymore, Ive put it down in words thereby limiting it  defining it. You know?

Its like some things shouldnt be put on paper until youre ready to let go of them.

So Winesburg, Ohio  its mostly mens stories  men from Winesburg, a small village town with vast open fields. There are women obviously else I couldnt bear it. This author Sherwood Anderson wrote it, there are dainty cups from time to time, soft hands and wistful smiles and a lot of cynicism. But most importantly, there are evenings with the sun shining over the village and its cottages.

I dont think I do a good job at a charismatic or even an accurate description. But I think I might be writing less and reading more now.

Its time to get lost again.

 I'll leave you with this image assuming you too like cosy beds"
Kerala Flood Relief - please help in any way possible,"

Direct links to donate money for Kerala flood relief available in the above options as well as in Tez."
Civilization,"""When I have kids, I'm going to raise them in the forest until they're like 8-9 years old, then introduce them to urban society and ask them to pick between the two the life they'd like to live. I'd give them choice, not the illusion of it.""

""I'm not a fan of civilization myself,"" says George."
Winter - Romance,"I met G on New Years Eve 2016 at Mandi House.

It was winter. The best part of winter. When it's cold but not too much.
You can smoke fumes out of your mouth in the thick morning air while walking to class. Peas still sprout when soaked overnight and Parachute oil hasnt frozen in its entirety in the bottle. You wear just enough layers to not need a bra (at least the less endowed ones), yet do not have to hide your cute sweater under another quilted jacket. The chilly wind against their scantily clothed chests hasn't eaten into the rickshawbhayyas' pace inthe mornings, yet.

Shaving of course is out of the question.

At this point, I need to confess a couple of things. My roommate had been away for almost two months, and I was thoroughly enjoying it.
I lived in my natural habitat of a cluttered room, the little floorspace was filled with copies of The Hindu and printed fliers of IAS coaching material, collected and shoved into my bag after class. Id started wearing bhasmamregularly because it reminded me of people I love. My warrior of a chair carried a backbreaking pile of dirty clothes to topple over any moment and I went to class in the clothes I went to bed in. The bed itself was filled with Haldirams Aloo Bujia, a thin plastic cover of 5 tomatoes bought for 10, and leftover packs from previous tiffin any time of the day.
I fit my body in there somehow.

Evenings were dry and beautiful with an occasional warm drizzle, and by all means I avoided being in my room for long. It's when (home)sickness slowly creeps in and lodges itself on your neck to stay until dinner.

I was doing Indias Struggle for Independence by Bipan Chandra. Love you Zindagi played in my room every night after I returned from the reading room.I routinely smiled at other building-mates and refrained from (/clearly avoided) talking. By this time the chetanat the sambar vada/pizza sandwich shop that had open counters and high tables knew I wanted chai to the brim, just like the chetan at office does now. Old Rajendra Nagar was filled with puppies that followed you on the roads and needed to be fed from your tiffin bits at night.

The terrace was still the only place I could see the sky wasnt as little as it seemed from amidst all the buildings on the ground.

Probably most important bit is I didnt have to zone into my thoughts like I do now and did before. I was living in them.

In college, I'd go to canteen alone for a lot of different reasons, and I was lucky to always have people that asked ""Are you here all by yourself?""
It was only after almost a year I realized I was disappointing people with answers such as ""It's alright"" cos they thought I was upset at not having company. So I later rephrased it to ""Oh a friend is coming. It's alright"" and things were sorted out. Unless they decided to give me company until the friend (never) came :D.

I hadnt talked to a soul at ORN in the course of these two months. Except the sabjiwala and Komal at my reading room reception. And New Years Eve was to be spent watching a play at ShriRams Arts Center, Mandi House. Alone.

(Yeah don't worry, a friend was coming).



Can I have one at the extreme back please?

First time at a theatre alone and I had mistaken a play for a movie, and extreme back for balcony view.
G in the second queue overhears and looks over, smiles a friendly stranger smile. I return the smile and wait for the doors to open.

On the way to the Arts Center were walls painted Inquilab Zindabad, posters of Che Guevera, lots of young and older men and women all of whom seemed like students. Reading newspaper and eating Maggi, outside shacks and shops nearby and on circles around tall trees. And all I could think was how Id have turned out had I joined DU and studied English, or even joined for MA after B.Tech.

I wasnt sure then, but when was I ever?

Id quite probably have turned leftist, sat under those trees reading The Hindu, turned up in loose neutral kurtas instead of my favourite Lifestyle sweater, worn chappal instead of Converse and carried a cloth bag instead of Wildcraft. Id probably still have turned up for this play. Probably.
At least I knew I wasn't a literature person by then.

As soon as I get seated I realize my folly. I can hardly see the actors faces, having especially asked for the backseat. The play is about the revolt of 1857 and I have a leaflet about the troupe and the actors. Theyre probably college students, always rushing to catch the Metro for their practice sessions in scorching summers and chilly winters. I would've impressed with my Doordarshan-imparted Hindi, though started from the top every time I missed a line.
I would've sucked with the lines.

Memorizing dialogues and scenes, indulging chai sessions between, and Maggi from that shop outside on lazy afternoons after naps. Streetplays on weekends, processions at India Gate, LeftWord Books for every book launch. Never miss a LitFest and never miss a lecture. Debate over Yechury's points on the phone with Achan and borrow Amma's sari for characters when I went home for vacation.

I dont really know how differently Id have turned out.
What if's and I have had a romantic relationship since forever anyway.



Theres a cosy canteen attached to Centre's right with low tables and chairs. Its evening now and the sky is losing light, its getting chilly outside. I sit down with hot chowmein at an empty table. There are a couple of benches and desks outside, and through the door I can see young students in their sweaters and mufflers clicking selfies before their foods arrive.
We could all be at a tea shop in a beautiful hill station at Manali or Nainital, sipping tea and eating chowmein. Barfi could jump in any second singing Iss dil ka kya karooon with Ileana De Cruz in her long dress, shoes and pink hairband. And I wouldnt need to get up and dance because I'd already be.

Next to me, a lady who Im positive appeared in Taare Zameen Par to judge the painting contest comments Isn't Three Arts Club doing quite brilliant these days?
She has grey cropped hair, wears a starched saree and is seated with other older men who look like they could be college professors or The Hindu editors, with a general wise air. All neutral shades. They drink tea. I wonder if I should've ordered tea with my chowmein.

G appears opposite to me at my table, placing a bag on the last vacant one, and has ordered Maggi. I shift my water bottle away from G's plate, polite. I'm hardly ever impolite to strangers. At this point Id like to say I'm one of those I'm sure everyone's good at heart people. I love being disappointed.

Is it your first time to a play? G is smiling more broadly than the summer sun.

I've been to a couple back home, first time alone though. G sits down.

""So where are you from?"" ""I'm from Kerala. Where are you from?"" I can't help the full sentences amidst all the smiling.

""Delhi.""

I smile broadly as well.
Like when you find the flavor of tic-tac you were rummaging for in a large bucket ata supermarket. Except there's no way we knew each other's flavors. Yet.

G is an arts graduate. PG in English Literature. Civil Services preparation.
""ORN?""
""Yes. You go to Vajiram?""
""I go to Sriram.""
""Evening batch?""
""Morning, actually. You must go in the evening batch?""
""Morning, actually.""

Later as we walk out from the canteen into the tall trees, under the orange lamps I can spot G's backpack that says WildCraft. I smile stupidly, like Swetha says I often do when seated by the window in our office bus.

Everyone should have the privilege to meet themselves, sometime.



I had earlier decided I'd remain stoic for as long as I could hold out. But that New Year night I talked to more humans over Never Have I Ever. And realized I'd always, always loved people.

When Umadri packed up and left for college in late May, I asked her to list out the things and people she'd miss (yea I do that). On top of the list, was who she was when we were at ORN.

Some days I think I'd give anything to go back to being the unfuck-withable dragon-hunter. Impenetrable to my mother's calls tolife as we know it.

Why is life not the way I know it?

                        Old Rajendra Nagar, Winter 2016"
Predate,"
I have heard and I've known it's true
When you see someone happy
You want a bite
And you'd expect the happiness would multiply
But really you only care
Until you've eaten it all up
I don't think I have any happiness left




You can leave now
"
Yellow,"20 November 2017 - A rainy evening
Look at the stars
Look how they shine for you
And everything you do
Yeah they were all yellow

I came along
I wrote a song for you
And all the things you do
And it was called ""Yellow"""
